Band,Origin,Years Active,Page Title,Summary,
Architecture in Helsinki,Fitzroy,2000–2018,Architecture in Helsinki,"<p class=""mw-empty-elt"">

</p>
<p><b>Architecture in Helsinki</b> were an Australian indie pop band which consisted of Cameron Bird, Gus Franklin, Jamie Mildren, Sam Perry, and Kellie Sutherland. Before its hiatus, the band released five studio albums: <i>Fingers Crossed</i> (2003), <i>In Case We Die</i> (2005), <i>Places Like This</i> (2007), <i>Moment Bends</i> (2011), and <i>Now + 4eva</i> (2014). The band has been inactive since 2018.
</p>",
,,,,,
Amy Macdonald,Bishopbriggs,2006–present,Amy Macdonald,"<p class=""mw-empty-elt"">

</p>

<p><b>Amy Elizabeth Macdonald</b> (born 25 August 1987) is a Scottish singer-songwriter. In 2007, she released her debut studio album, <i>This Is the Life</i>, which respectively produced the singles ""Mr. Rock &amp; Roll"" and ""This Is the Life""; the latter charting at number one in six countries, while reaching the top 10 in another 11 countries. The album reached number one in four European countries – the United Kingdom, Denmark, the Netherlands and Switzerland – and sold three million copies worldwide. Moderate success in the American music market followed in 2008. Macdonald has sold over 12 million records worldwide.</p><p>Macdonald's second studio album, <i>A Curious Thing</i>, was released in 2010. Its lead single ""Don't Tell Me That It's Over"" peaked at number 45 on the UK Singles Chart, and reached the Top 10 in several mainland European countries. In 2010, she collaborated with Ray Davies on his album, <i>See My Friends</i>; she sang with him on a cover of The Kinks' 60s hit ""Dead End Street"". Her third studio album, <i>Life in a Beautiful Light</i>, was released in 2012 and supplied three singles: ""Slow It Down"", ""Pride"" and ""4th of July"".</p><p>In 2017, Macdonald released her fourth studio album, <i>Under Stars</i>, which entered at number two on the Scottish and UK Album Charts. It also peaked within the top 10 of the album charts in Germany and New Zealand. In 2020, she released her fifth studio album, <i>The Human Demands</i>.
</p>",
,,,,,
Velvet Revolver,Rancho Santa Margarita,2002–2008,Velvet Revolver,"<p class=""mw-empty-elt"">
</p>

<p class=""mw-empty-elt"">
</p>
<p><b>Velvet Revolver</b> was an American hard rock and alternative metal supergroup consisting of Guns N' Roses members Slash (lead guitar), Duff McKagan (bass, backing vocals) and Matt Sorum (drums, backing vocals), alongside Dave Kushner (rhythm guitar) formerly of punk band Wasted Youth, and Scott Weiland (lead vocalist) formerly of Stone Temple Pilots.  The band formed in 2002 and was active until 2008, when Weiland left the band abruptly to rejoin Stone Temple Pilots.
</p><p>In 2004, the band achieved commercial success with their debut album, <i>Contraband</i>. Despite positive reviews, some critics initially described Velvet Revolver as a mere combination of Stone Temple Pilots and Guns N' Roses, and criticizing them for a ""disconnection"" between Weiland and the rest of the band. With their single ""Slither"", they won the 2005 Grammy Award for Best Hard Rock Performance. The band released <i>Libertad</i> in 2007, driven by the release of the single ""She Builds Quick Machines"", and embarked on a tour with Alice in Chains.
</p><p>In April 2008, Weiland was fired from Velvet Revolver and reunited with Stone Temple Pilots. Velvet Revolver was put on indefinite hiatus and in November of that year, requested to be released by their record label RCA Records to allow themselves ""complete freedom to go through whatever process it would take to accomplish"" replacing Weiland.
</p><p>Although Velvet Revolver worked on new material and auditioned new singers following Scott Weiland's departure, the band has not released any new material and only performed publicly once since 2008, when they reunited with Weiland for a one-off reunion show on January 12, 2012, at a benefit concert. This proved to be their last performance together before Weiland's death on December 3, 2015. Slash and McKagan later rejoined Guns N' Roses in 2016.
</p>",
,,,,,
Grateful Dead,Palo Alto,,Grateful Dead,"<p class=""mw-empty-elt"">
</p>
<p>The <b>Grateful Dead</b> was an American rock band formed in 1965 in Palo Alto, California. The band is known for its eclectic style, which fused elements of rock, folk, country, jazz, bluegrass, blues, rock and roll, gospel, reggae, world music, and psychedelia; for live performances of lengthy instrumental jams that typically incorporated modal and tonal improvisation; and for its devoted fan base, known as ""Deadheads"". According to Lenny Kaye, ""their music touches on ground that most other groups don't even know exists."" These various influences were distilled into a diverse and psychedelic whole that made the Grateful Dead ""the pioneering Godfathers of the jam band world"".</p><p>The band was ranked 57th by <i>Rolling Stone</i> magazine in its ""The Greatest Artists of All Time"" issue. The band was inducted into the Rock and Roll Hall of Fame in 1994 and a recording of their May 8, 1977 performance at Cornell University's Barton Hall was added to the National Recording Registry of the Library of Congress in 2012. Despite having only one top-40 single in their 30-year career, ""Touch of Grey"", the Grateful Dead remained among the highest-grossing American touring acts for multiple decades and gained a committed fanbase by word of mouth and the exchange of live recordings due to the band's permissive stance on taping.
</p><p>The Grateful Dead was founded in the San Francisco Bay Area amid the rise of the counterculture of the 1960s. The founding members were Jerry Garcia (lead guitar, vocals), Bob Weir (rhythm guitar, vocals), Ron ""Pigpen"" McKernan (keyboards, harmonica, vocals), Phil Lesh (bass, vocals), and Bill Kreutzmann (drums). Members of the Grateful Dead, originally known as the Warlocks, had played together in various Bay Area ensembles, including the traditional jug band Mother McCree's Uptown Jug Champions. Lesh was the last member to join the Warlocks before they changed their name to the Grateful Dead; replacing Dana Morgan Jr., who had played bass for a few gigs. Drummer Mickey Hart and non-performing lyricist Robert Hunter joined in 1967. With the exception of McKernan, who died in 1973, and Hart, who took time off from 1971 to 1974, the core of the band stayed together for its entire 30-year history. The other official members of the band are Tom Constanten (keyboards; 1968–1970), John Perry Barlow (non-performing lyricist; 1971–1995), Keith Godchaux (keyboards, occasional vocals; 1971–1979), Donna Godchaux (vocals; 1972–1979), Brent Mydland (keyboards, vocals; 1979–1990), and Vince Welnick (keyboards, vocals; 1990–1995). Bruce Hornsby (accordion, piano, vocals) was a touring member from 1990 to 1992, as well as a guest with the band on occasion before and after the tours.
</p><p>After the death of Garcia in 1995, former members of the band, along with other musicians, toured as the Other Ones in 1998, 2000, and 2002, and the Dead in 2003, 2004, and 2009. In 2015, the four surviving core members marked the band's 50th anniversary in a series of concerts that were billed as their last performances together. There have also been several spin-offs featuring one or more core members, such as Dead &amp; Company, Furthur, the Rhythm Devils, Phil Lesh and Friends, RatDog, and Billy &amp; the Kids.
</p>",
,,,,,
Hot Hot Heat,Victoria,1999&ndash,2016,Hot Hot Heat,"<p><b>Hot Hot Heat</b> is a Canadian indie rock band from Victoria, British Columbia, formed in 1999. The band was signed by Seattle label Sub Pop in 2001 and released its first EP, <i>Knock Knock Knock</i>, and first full-length album, <i>Make Up the Breakdown</i>, the following year. The band released five full-length albums, the last being the self-titled <i>Hot Hot Heat</i> in 2016. The band's style makes use of electronic and traditional instruments and has variously been categorized as dance-punk, post-punk revival, new wave, and art-punk. They made an appearance on <i>Yo Gabba Gabba!</i>, with the song, ""Time to Go Outdoors"". It was featured on the ""Talent"" episode.
</p><p>After five years of little activity, on March 13, 2016, Hot Hot Heat announced new music in the form of a special 7"" titled ""Nature of Things"" to be released for Record Store Day (April 16, 2016). Following on from this, on April 5, the band announced via Twitter they would be releasing their fifth and final self-titled album on June 24. New song ""Kid Who Stays in the Picture"" was premiered the same day.
</p>"
,,,,,
Sepultura,Belo Horizonte,1984–present,Sepultura,"<p class=""mw-empty-elt"">
</p>
<p><b>Sepultura</b> (<span>Portuguese: </span><span title=""Representation in the International Phonetic Alphabet (IPA)"" lang=""pt-Latn-fonipa"">[ˌsepuwˈtuɾɐ]</span>, ""grave"") is a Brazilian heavy metal band from Belo Horizonte. Formed in 1984 by brothers Max and Igor Cavalera, the band was a major force in the groove metal, thrash metal and death metal genres during the late 1980s and early 1990s, with their later experiments drawing influence from alternative metal, world music, nu metal, hardcore punk, and industrial metal. Sepultura has also been credited as one of the second wave of thrash metal acts from the late 1980s to early-to-mid-1990s.</p><p>The band has had several lineup changes throughout its <span></span>39-year career, with Max and Igor Cavalera departing in 1996 and 2006, respectively. Sepultura's current lineup consists of vocalist Derrick Green (who replaced Max in 1997), guitarist Andreas Kisser, bassist Paulo Jr. and drummer Eloy Casagrande (who replaced Igor's successor Jean Dolabella in 2011). Since Igor Cavalera's departure in 2006, there have been no original members left in the band. Although Paulo Jr. joined Sepultura shortly after its formation in late 1984 and is the longest serving member, he did not play on any of the band's studio albums until <i>Chaos A.D.</i> (1993). Kisser, who replaced onetime guitarist Jairo Guedz, has appeared on all of Sepultura's albums since their second full-length <i>Schizophrenia</i> (1987); he also recorded bass guitar until <i>Chaos A.D.</i>.</p><p>Sepultura has released fifteen studio albums to date, the latest being <i>Quadra</i> (2020). Their most successful records are <i>Beneath the Remains</i> (1989), <i>Arise</i> (1991), <i>Chaos A.D.</i> (1993), and <i>Roots</i> (1996). Sepultura has sold over three million units in the United States and almost 20 million worldwide, gaining multiple gold and platinum records around the globe, including in countries as diverse as France, Australia, Indonesia, United States, Cyprus, and their native Brazil.</p>


",
